Scheme,Completion,Launch,Objective
Ayushman Bharat,0.1100000,2015,THe National Health Protection Scheme aims to provide insurance coverage of up to 5 lakh rupees per family per year for secondary and tertiary care hospitalisation to over 10 crore poor and vulnerable families 
Deen Dayal Upadhyaya Grameen Kaushalya Yojana,0.9900000,2016,"aims to transform about 5.5 crore rural poor youth between the ages of 15 and 35 years,"
PM Kaushal Vikas Yojana ASl,0.3100000,2020,"The scheme seeks to provide skill certification and reward scheme to enable and mobilize a large number of Indian youth to take up outcome based skill training, become employable and earn their livelihood."
PM Awas Yojana - Gramin,0.0100000,2020,The scheme proposes to provide an environmentally safe and secure pucca house to every rural household by 2022
Pradhan Mantri Bhartiya Janaushadhi Pariyojana,0.5100000,2019,aims to provide high-speed broadband connectivity to all gram panchayats in the country to boost rural connectivity and transform India into a digitally empowered society.
Pradhan Mantri Jan Dhan Yojana,0.0300000,2020,aims to make quality generic medicines available at affordable prices to all through Jan Aushadhi Stores
Pradhan Mantri Kaushal Vikas Yojana,0.6300000,2015,aimed to ensure universal access to banking facilities with at least one basic banking account for every household in the next four years
Pradhan Mantri MUDRA Yojana,0.8000000,2015,aims to impart industry-relevant skill training to an estimated 10 million youth
Pradhan Mantri Awaas Yojana - Gramin,0.5400000,2019,"aims to provide loans up to 10 lakh to non-corporate, non- farm micro and small enterprises."
Pradhan Mantri Matritva Vandana Yojana,0.2700000,2020,aims to provide an environmentally secure pucca house to every rural household by 2020
Pradhan Mantri Ujjwala Yojana,0.3500000,2019,aims to provide maternity benefits to all Pregnant Women & Lactating Mothers
Pradhan Mantri Sahaj Bijli Har Ghar Yojana – SAUBHAGYA,0.3000000,2015,"aims to provide 5 crore free LPG connections to women from Below Poverty Line households,"
Setu Bharatam Yojana,0.4400000,2016,"The scheme seeks to provide skill certification and reward scheme to enable and mobilize a large number of Indian youth to take up outcome based skill training, become employable and earn their livelihood."
Stand Up India,0.5200000,2018,The scheme proposes to provide an environmentally safe and secure pucca house to every rural household by 2022
Street Lighting National Programme,0.0700000,2015,aims to provide high-speed broadband connectivity to all gram panchayats in the country to boost rural connectivity and transform India into a digitally empowered society.
Swachh Bharat Mission – Gramin,0.2000000,2016,aims to make quality generic medicines available at affordable prices to all through Jan Aushadhi Stores
Swachh Bharat Mission - Urban,0.0400000,2017,aimed to ensure universal access to banking facilities with at least one basic banking account for every household in the next four years
Ujwal DISCOM Assurance Yojana - UDAY,0.0100000,2019,aims to impart industry-relevant skill training to an estimated 10 million youth
Unnat Jyoti by Affordable LEDs for All - UJALA,0.6400000,2017,"aims to provide loans up to 10 lakh to non-corporate, non- farm micro and small enterprises."
Neha Ka Ghotala,0.45,2020,Multifarious nefarious  Ulti murgi schemes
,,,
,,,
