Scheme,Completion
Ayushman Bharat,0.7600000
Deen Dayal Upadhyaya Grameen Kaushalya Yojana,0.8500000
PM Kaushal Vikas Yojana ASl,0.7900000
PM Awas Yojana - Gramin,0.6700000
Pradhan Mantri Bhartiya Janaushadhi Pariyojana,0.6800000
Pradhan Mantri Jan Dhan Yojana,0.1900000
Pradhan Mantri Kaushal Vikas Yojana,0.1800000
Pradhan Mantri MUDRA Yojana,0.3200000
Pradhan Mantri Awaas Yojana - Gramin,0.5000000
Pradhan Mantri Matritva Vandana Yojana,0.1900000
Pradhan Mantri Ujjwala Yojana,0.9500000
Pradhan Mantri Sahaj Bijli Har Ghar Yojana – SAUBHAGYA,0.9100000
Setu Bharatam Yojana,0.3700000
Stand Up India,0.4100000
Street Lighting National Programme,0.0500000
Swachh Bharat Mission – Gramin,0.9200000
Swachh Bharat Mission - Urban,0.2400000
Ujwal DISCOM Assurance Yojana - UDAY,0.9300000
Unnat Jyoti by Affordable LEDs for All - UJALA,0.5400000
